Year,Month,HighestSS,Pressure,MaxWind,Name,AL,CT,DE,FL,GA,LA,MA,MD,ME,MS,NC,NH,NJ,NY,PA,RI,SC,TX,VA
1983,8,3,962,100,Alicia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
1984,9,2,949,95,Diana,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
1985,7,1,1003,65,Bob,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1985,8,1,987,80,Danny,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,9,3,959,100,Elena,3,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
1985,9,3,942,90,Gloria,0,2,0,0,0,0,0,0,1,0,3,2,0,3,0,0,0,0,0
1985,10,1,971,75,Juan,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1985,11,2,967,85,Kate,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986,6,1,990,75,Bonnie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1986,8,1,990,65,Charley,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1987,10,1,993,65,Floyd,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1988,9,1,984,70,Florence,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1989,8,1,986,70,Chantal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1989,9,4,934,120,Hugo,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0
1989,10,1,983,75,Jerry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1991,8,2,962,90,Bob,0,2,0,0,0,0,2,0,0,0,0,0,0,2,0,2,0,0,0
